ratio,target_faces,actual_faces,actual_ratio,hausdorff_normalized,chamfer_mse_normalized,texture_rgb_l2,algorithm_wall_seconds,source
0.1,16494,16494,0.1,0.0006167762787972146,9.585955841215905e-09,0.038595543814034,20.308020299999043,reused_full_benchmark_run
0.2,32988,32988,0.2,0.00034173396279741166,2.7376911302803205e-09,0.03811857019879354,13.90256670000963,paper-guided local reimplementation; radius assumption disclosed
0.3,49482,49482,0.3,0.0003129870515470443,1.254326454265238e-09,0.03850156962106699,11.7979156000074,paper-guided local reimplementation; radius assumption disclosed
0.4,65976,65976,0.4,0.00024892343017837915,6.819599228417701e-10,0.03866436351870498,9.73205209999287,paper-guided local reimplementation; radius assumption disclosed
0.5,82470,82470,0.5,0.00023496517517175174,4.105559846587953e-10,0.03791616441841025,10.293291499983752,reused_full_benchmark_run
0.6,98964,98964,0.6,0.00021663081678532616,2.65872285159978e-10,0.03772494229917763,6.681423200003337,paper-guided local reimplementation; radius assumption disclosed
0.7,115458,115458,0.7,0.00027190179652392886,1.8601610608002182e-10,0.0376698641643481,5.0311233999964315,paper-guided local reimplementation; radius assumption disclosed
0.8,131952,131952,0.8,0.00025953189362761697,1.3581820978547352e-10,0.03834675523442953,3.608129399988684,paper-guided local reimplementation; radius assumption disclosed
0.9,148446,148446,0.9,0.00023436765333293338,1.0795735370557893e-10,0.03835242481981366,2.3161017000093125,paper-guided local reimplementation; radius assumption disclosed
